MethodName	CoveredStatement	TotalStatement	StatementCoverage	CoveredBranch	TotalBranch	BranchCoverage
org.apache.commons.math3.random.BitsStreamGenerator.clear	2	2	1.0	0	0	0.0
org.apache.commons.math3.random.BitsStreamGenerator.nextLong	0	7	0.0	0	3	0.0
org.apache.commons.math3.random.BitsStreamGenerator.nextLong	0	3	0.0	0	0	0.0
org.apache.commons.math3.random.BitsStreamGenerator.nextInt	7	8	0.875	4	5	0.8
org.apache.commons.math3.random.BitsStreamGenerator.nextInt	0	1	0.0	0	0	0.0
org.apache.commons.math3.random.BitsStreamGenerator.nextGaussian	0	11	0.0	0	2	0.0
org.apache.commons.math3.random.BitsStreamGenerator.nextFloat	0	1	0.0	0	0	0.0
org.apache.commons.math3.random.BitsStreamGenerator.nextDouble	3	3	1.0	0	0	0.0
org.apache.commons.math3.random.BitsStreamGenerator.nextBytes	0	15	0.0	0	4	0.0
org.apache.commons.math3.random.BitsStreamGenerator.nextBoolean	0	1	0.0	0	2	0.0
org.apache.commons.math3.random.BitsStreamGenerator.<init>	3	3	1.0	0	0	0.0
org.apache.commons.math3.util.FastMath.<clinit>	13	13	1.0	0	0	0.0
org.apache.commons.math3.util.FastMath.main	0	13	0.0	0	0	0.0
org.apache.commons.math3.util.FastMath.getExponent	0	1	0.0	0	0	0.0
org.apache.commons.math3.util.FastMath.getExponent	1	1	1.0	0	0	0.0
org.apache.commons.math3.util.FastMath.copySign	5	5	1.0	2	2	1.0
org.apache.commons.math3.util.FastMath.copySign	5	5	1.0	2	2	1.0
org.apache.commons.math3.util.FastMath.IEEEremainder	0	1	0.0	0	0	0.0
org.apache.commons.math3.util.FastMath.hypot	0	15	0.0	0	10	0.0
org.apache.commons.math3.util.FastMath.max	9	10	0.9	7	8	0.875
org.apache.commons.math3.util.FastMath.max	6	10	0.6	5	8	0.625
org.apache.commons.math3.util.FastMath.max	0	1	0.0	0	2	0.0
org.apache.commons.math3.util.FastMath.max	1	1	1.0	2	2	1.0
org.apache.commons.math3.util.FastMath.min	6	10	0.6	5	8	0.625
org.apache.commons.math3.util.FastMath.min	6	10	0.6	5	8	0.625
